Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,churn,prediction,proba
Existing Customer,57.707376313131,F,2,Unknown_Education,Married,,Blue,36,6,9,2,1137.4275934820553,2107,463.0,0.651,1613.856512326848,44.0,0.766,0.82,0,0,0.0039112540980041416
Existing Customer,53.931955847475066,F,1,Unknown_Education,Unknown,Less than $40K,Blue,32,2,9,3,811.8162326491123,1259,1350.0,0.871,2530.546770911809,45.0,0.627,0.483,0,1,0.561856397986165
Attrited Customer,68.1446305388392,M,2,College,Married,$60K - $80K,Blue,31,6,8,2,3835.454007647951,1061,8810.0,0.545,360.7309720729447,12.0,0.478,0.107,1,1,0.9058533307207771
Attrited Customer,55.63090592237218,M,4,Graduate,Married,$120K +,Blue,32,6,8,4,19234.797619000583,2517,31999.0,0.765,1838.373499056746,31.0,0.596,0.073,1,0,0.1660702414974598
Attrited Customer,41.94029328733878,F,2,Doctorate,Married,Less than $40K,Blue,28,5,8,4,882.5060659585474,0,1614.0,0.609,546.4539798265629,21.0,0.438,0.0,1,1,0.9986569733107648
Attrited Customer,64.42651884877831,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,7,2,20168.54082727517,2488,32028.0,0.552,1726.459296632022,49.0,0.776,0.072,1,0,0.1796790481018454
Attrited Customer,62.62449221353641,F,3,Unknown_Education,Single,$40K - $60K,Blue,40,6,8,2,508.1740309043232,0,1625.0,0.689,689.5491235099245,21.0,0.433,0.0,1,1,0.9983624687597693
Existing Customer,48.2339136588365,M,4,Graduate,Married,$40K - $60K,Blue,27,6,6,4,2705.0567492127284,1276,4259.0,0.636,834.9048554824242,19.0,0.9,0.231,0,1,0.859437213996621
Existing Customer,43.95378299624293,M,1,Unknown_Education,Single,$60K - $80K,Silver,31,4,7,3,12750.596482264562,1170,24654.0,0.684,931.586772197571,31.0,0.78,0.045,0,0,0.09143309760074607
Attrited Customer,62.130189026359496,F,1,Doctorate,Single,Unknown,Blue,46,6,10,3,685.9680192591524,1477,493.0,0.662,579.8379355203003,15.0,0.571,0.75,1,1,0.9283692533420419
