Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Existing Customer,57.707376313131,F,2,Unknown_Education,Married,,Blue,36,6,9,2,1137.4275934820553,2107,463.0,0.651,1613.8565123268481,44.0,0.766,0.82
Existing Customer,53.931955847475066,F,1,Unknown_Education,Unknown,Less than $40K,Blue,32,2,9,3,811.8162326491123,1259,1350.0,0.871,2530.546770911809,45.0,0.627,0.483
Attrited Customer,68.1446305388392,M,2,College,Married,$60K - $80K,Blue,31,6,8,2,3835.454007647951,1061,8810.0,0.545,360.7309720729447,12.0,0.478,0.107
Attrited Customer,55.63090592237218,M,4,Graduate,Married,$120K +,Blue,32,6,8,4,19234.797619000583,2517,31999.0,0.765,1838.3734990567461,31.0,0.596,0.073
Attrited Customer,41.94029328733878,F,2,Doctorate,Married,Less than $40K,Blue,28,5,8,4,882.5060659585474,0,1614.0,0.609,546.4539798265629,21.0,0.438,0.0
Attrited Customer,64.42651884877831,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,7,2,20168.54082727517,2488,32028.0,0.552,1726.459296632022,49.0,0.776,0.072
Attrited Customer,62.62449221353641,F,3,Unknown_Education,Single,$40K - $60K,Blue,40,6,8,2,508.1740309043232,0,1625.0,0.689,689.5491235099245,21.0,0.433,0.0
Existing Customer,48.2339136588365,M,4,Graduate,Married,$40K - $60K,Blue,27,6,6,4,2705.0567492127284,1276,4259.0,0.636,834.9048554824242,19.0,0.9,0.231
Existing Customer,43.95378299624293,M,1,Unknown_Education,Single,$60K - $80K,Silver,31,4,7,3,12750.596482264562,1170,24654.0,0.684,931.586772197571,31.0,0.78,0.045
Attrited Customer,62.130189026359496,F,1,Doctorate,Single,Unknown,Blue,46,6,10,3,685.9680192591524,1477,493.0,0.662,579.8379355203003,15.0,0.571,0.75
Attrited Customer,76.40305476519259,F,3,Unknown_Education,Unknown,Less than $40K,Silver,42,6,5,1,7108.254150574551,2422,10253.0,0.642,921.1081547265111,25.0,0.575,0.191
Attrited Customer,58.77741806260332,F,3,High School,Single,Less than $40K,Silver,39,4,9,4,4362.048835205197,2422,8754.0,1.003,1035.4357215699822,21.0,0.641,0.217
Existing Customer,66.2257151035089,F,4,Unknown_Education,Single,Less than $40K,Blue,45,5,7,2,4611.708083948395,1785,7646.0,0.603,3248.6292183640276,44.0,0.65,0.189
Attrited Customer,43.608045284661465,M,3,Unknown_Education,Single,,Gold,19,1,4,3,8481.090912738522,808,21917.0,0.779,4804.131492042577,57.0,0.875,0.036
Existing Customer,46.19292407023103,F,1,Graduate,Single,Less than $40K,Blue,28,6,9,3,806.9719386871459,1027,1401.0,0.824,1275.203710214234,26.0,0.867,0.423
Existing Customer,55.241677343216544,M,4,High School,Married,,Blue,42,5,10,3,1793.0846819707292,1214,2665.0,0.924,2044.4871214049565,28.0,0.681,0.313
Existing Customer,53.79118079663688,M,4,Graduate,Single,,Blue,37,3,7,1,5170.981131166502,2517,11871.0,0.709,2510.5093694528414,43.0,0.635,0.175
Existing Customer,51.06953006360678,F,3,Graduate,Single,$40K - $60K,Blue,33,6,5,3,1971.9506296264879,1661,1715.0,0.618,2222.071361452661,36.0,0.923,0.492
Existing Customer,70.01247996644842,F,1,Unknown,Single,Less than $40K,Blue,54,4,5,2,781.0825130300726,1319,608.0,0.672,1807.9406802457781,40.0,0.75,0.684
Attrited Customer,42.65692539821643,F,4,Unknown_Education,Single,$40K - $60K,Blue,34,4,7,2,4355.292264971735,803,9461.0,0.802,862.122290383516,43.0,0.721,0.078
Attrited Customer,59.092933445666816,M,1,Unknown,Single,$60K - $80K,Blue,43,3,8,1,11177.768512130273,0,19090.0,0.53,2022.080559753408,31.0,0.517,0.0
Existing Customer,68.87199600918777,F,0,Unknown_Education,Married,Less than $40K,Blue,27,3,4,3,874.266040503463,691,1085.0,0.878,1410.398419717606,47.0,0.826,0.389
Existing Customer,48.023049116117896,M,5,Uneducated,Single,$60K - $80K,Blue,28,4,5,3,2698.369893587715,1704,2883.0,0.903,865.0635483197246,20.0,0.806,0.371
Existing Customer,58.147044251716515,M,3,Unknown_Education,Single,$60K - $80K,Blue,34,6,5,0,7466.812013684095,2517,11254.0,0.501,576.8053741147596,17.0,0.75,0.183
Existing Customer,53.055270155792535,M,3,High School,Single,$80K - $120K,Gold,28,2,8,0,,2098,32418.0,0.746,2418.540459327705,51.0,0.526,0.061
Attrited Customer,79.34435015653338,M,0,Unknown_Education,Single,Unknown,Blue,56,3,6,2,4209.578255756158,633,10699.0,1.514,1065.4879217993239,28.0,1.24,0.056
Attrited Customer,81.77518808885335,F,0,College,Married,Less than $40K,Blue,49,5,6,3,800.9594853345142,1155,479.0,0.874,1677.8484635034101,27.0,0.766,0.707
Attrited Customer,50.264704471832445,F,2,Unknown_Education,Unknown,Less than $40K,Blue,34,5,7,3,1052.7218482178162,2517,709.0,0.818,1389.171321090616,32.0,0.884,0.78
